Destinations,Score,Average Hotel Rating,All-inclusive hotels ,Most visited city 
Italy,6,4,Hilton Hotel,Milan
Spain,7,3,Cruise Hotel,Barcelona
South Korea,5,4,Titanic Hotel,Seoul
Turkey,8,3,Museum Hotel,Istanbul
Japan,9,3,Tokyo Hotel,Tokyo
United States,6,3,Golden River Resort,New York
Greece,8,3,Athens Motel,Athens
England,6,4,Revelation Hotel,London
Switzerland,9,5,Geneva Hotel,Geneva
China,5,2,Hong Kong Hotel,Hong Kong
Netherlands,4,2,Illustrious Ribbon Hotel,Amsterdam
United Arab Emirates,6,5,Harborview Hotel & Sp,Dubai
France,6,3,Elysium Motel,Paris
Irland,5,3,Moss Resort & Sp,Dublin
Germany,7,4,Queen's Circus Hotel,Berlin
